"Auto-elevated","Executable","DLL","Procedure"
TRUE,"bthudtask.exe","DEVOBJ.dll","DllMain"
TRUE,"computerdefaults.exe","CRYPTBASE.DLL","DllMain"
TRUE,"computerdefaults.exe","edputil.dll","DllMain"
TRUE,"computerdefaults.exe","edputil.dll","EdpGetIsManaged"
TRUE,"computerdefaults.exe","MLANG.dll","ConvertINetUnicodeToMultiByte"
TRUE,"computerdefaults.exe","MLANG.dll","DllMain"
TRUE,"computerdefaults.exe","PROPSYS.dll","DllMain"
TRUE,"computerdefaults.exe","PROPSYS.dll","PSCreateMemoryPropertyStore"
TRUE,"computerdefaults.exe","PROPSYS.dll","PSPropertyBag_WriteDWORD"
TRUE,"computerdefaults.exe","Secur32.dll","DllMain"
TRUE,"computerdefaults.exe","SSPICLI.DLL","DllMain"
TRUE,"computerdefaults.exe","SSPICLI.DLL","GetUserNameExW"
TRUE,"computerdefaults.exe","WININET.dll","DllMain"
TRUE,"computerdefaults.exe","WININET.dll","GetUrlCacheEntryBinaryBlob"
TRUE,"dccw.exe","ColorAdapterClient.dll","DllMain"
TRUE,"dccw.exe","dxva2.dll","DllMain"
TRUE,"dccw.exe","mscms.dll","DccwReleaseDisplayProfileAssociationList"
TRUE,"dccw.exe","mscms.dll","DllMain"
TRUE,"dccw.exe","mscms.dll","WcsGetCalibrationManagementState"
TRUE,"dccw.exe","mscms.dll","WcsSetCalibrationManagementState"
TRUE,"dccw.exe","USERENV.dll","DllMain"
TRUE,"easinvoker.exe","AUTHZ.dll","DllMain"
TRUE,"easinvoker.exe","netutils.dll","DllMain"
TRUE,"easinvoker.exe","samcli.dll","DllMain"
TRUE,"easinvoker.exe","SAMLIB.dll","DllMain"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","DllMain"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","FlushInProcTraceSession"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","InitializeInProcLogger"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","InitializeInProcTraceFlushTrigger"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","InitializeInProcTraceSession"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","ShutdownInProcLogger"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","ShutdownInProcTraceSession"
TRUE,"easpolicymanagerbrokerhost.exe","InprocLogger.dll","StopInProcTraceSession"
TRUE,"easpolicymanagerbrokerhost.exe","policymanager.dll","DllMain"
TRUE,"fodhelper.exe","CRYPTBASE.DLL","DllMain"
TRUE,"fodhelper.exe","edputil.dll","DllMain"
TRUE,"fodhelper.exe","edputil.dll","EdpGetIsManaged"
TRUE,"fodhelper.exe","MLANG.dll","ConvertINetUnicodeToMultiByte"
TRUE,"fodhelper.exe","MLANG.dll","DllMain"
TRUE,"fodhelper.exe","PROPSYS.dll","DllMain"
TRUE,"fodhelper.exe","PROPSYS.dll","PSCreateMemoryPropertyStore"
TRUE,"fodhelper.exe","PROPSYS.dll","PSPropertyBag_WriteDWORD"
TRUE,"fodhelper.exe","Secur32.dll","DllMain"
TRUE,"fodhelper.exe","SSPICLI.DLL","DllMain"
TRUE,"fodhelper.exe","SSPICLI.DLL","GetUserNameExW"
TRUE,"fodhelper.exe","WININET.dll","DllMain"
TRUE,"fodhelper.exe","WININET.dll","GetUrlCacheEntryBinaryBlob"
TRUE,"fsavailux.exe","DEVOBJ.dll","DllMain"
TRUE,"fxsunatd.exe","FXSAPI.dll","DllMain"
TRUE,"fxsunatd.exe","FXSAPI.dll","FaxConnectFaxServerW"
TRUE,"fxsunatd.exe","IPHLPAPI.DLL","DllMain"
TRUE,"fxsunatd.exe","PROPSYS.dll","DllMain"
TRUE,"immersivetpmvscmgrsvr.exe","DEVOBJ.dll","DllMain"
TRUE,"iscsicli.exe","DEVOBJ.dll","DllMain"
TRUE,"iscsicli.exe","ISCSIDSC.dll","DllMain"
TRUE,"iscsicli.exe","ISCSIDSC.dll","GetIScsiVersionInformation"
TRUE,"iscsicli.exe","ISCSIUM.dll","DiscpAllocMemory"
TRUE,"iscsicli.exe","ISCSIUM.dll","DiscpRegisterHeap"
TRUE,"iscsicli.exe","ISCSIUM.dll","DllMain"
TRUE,"iscsicli.exe","WMICLNT.dll","DllMain"
TRUE,"mdsched.exe","bcd.dll","DllMain"
TRUE,"mschedexe.exe","MaintenanceUI.dll","DllMain"
TRUE,"msconfig.exe","ATL.DLL","AtlModuleInit"
TRUE,"msconfig.exe","ATL.DLL","AtlModuleRegisterClassObjects"
TRUE,"msconfig.exe","ATL.DLL","DllMain"
TRUE,"msconfig.exe","bcd.dll","DllMain"
TRUE,"msdt.exe","ATL.DLL","DllMain"
TRUE,"msdt.exe","Cabinet.dll","DllMain"
TRUE,"msdt.exe","SSPICLI.DLL","DllMain"
TRUE,"msdt.exe","UxTheme.dll","DllMain"
TRUE,"msdt.exe","wer.dll","DllMain"
TRUE,"msdt.exe","WINHTTP.dll","DllMain"
TRUE,"multidigimon.exe","NInput.dll","DllMain"
TRUE,"netplwiz.exe","CRYPTBASE.dll","DllMain"
TRUE,"netplwiz.exe","DSROLE.dll","DllMain"
TRUE,"netplwiz.exe","DSROLE.dll","DsRoleGetPrimaryDomainInformation"
TRUE,"netplwiz.exe","NETPLWIZ.dll","DllMain"
TRUE,"netplwiz.exe","NETPLWIZ.dll","UsersRunDllW"
TRUE,"netplwiz.exe","netutils.dll","DllMain"
TRUE,"netplwiz.exe","netutils.dll","NetApiBufferFree"
TRUE,"netplwiz.exe","PROPSYS.dll","DllMain"
TRUE,"netplwiz.exe","samcli.dll","DllMain"
TRUE,"netplwiz.exe","samcli.dll","NetUserGetInfo"
TRUE,"netplwiz.exe","SAMLIB.dll","DllMain"
TRUE,"netplwiz.exe","SAMLIB.dll","SamConnect"
TRUE,"netplwiz.exe","SAMLIB.dll","SamEnumerateDomainsInSamServer"
TRUE,"netplwiz.exe","SAMLIB.dll","SamFreeMemory"
TRUE,"optionalfeatures.exe","DUI70.dll","DllMain"
TRUE,"optionalfeatures.exe","DUI70.dll","InitProcessPriv"
TRUE,"optionalfeatures.exe","DUI70.dll","RegisterBaseControls"
TRUE,"optionalfeatures.exe","DUI70.dll","RegisterCommonControls"
TRUE,"optionalfeatures.exe","DUI70.dll","RegisterExtendedControls"
TRUE,"optionalfeatures.exe","DUI70.dll","RegisterStandardControls"
TRUE,"optionalfeatures.exe","msi.dll","DllMain"
TRUE,"optionalfeatures.exe","OLEACC.dll","CreateStdAccessibleObject"
TRUE,"optionalfeatures.exe","OLEACC.dll","DllMain"
TRUE,"optionalfeatures.exe","OLEACC.dll","GetRoleTextW"
TRUE,"optionalfeatures.exe","osbaseln.dll","CloseOsBaseline"
TRUE,"optionalfeatures.exe","osbaseln.dll","DllMain"
TRUE,"optionalfeatures.exe","osbaseln.dll","OpenOsBaseline"
TRUE,"optionalfeatures.exe","PROPSYS.dll","DllMain"
TRUE,"perfmon.exe","ATL.DLL","DllMain"
TRUE,"perfmon.exe","credui.dll","DllMain"
TRUE,"perfmon.exe","SspiCli.dll","DllMain"
TRUE,"printui.exe","IPHLPAPI.DLL","DllMain"
TRUE,"printui.exe","printui.dll","DllMain"
TRUE,"printui.exe","printui.dll","PrintUIEntryW"
TRUE,"printui.exe","PROPSYS.dll","DllMain"
TRUE,"printui.exe","puiapi.dll","DllMain"
TRUE,"recdisc.exe","bcd.dll","DllMain"
TRUE,"recdisc.exe","Cabinet.dll","DllMain"
TRUE,"recdisc.exe","ReAgent.dll","DllMain"
TRUE,"rstrui.exe","bcd.dll","DllMain"
TRUE,"rstrui.exe","ktmw32.dll","DllMain"
TRUE,"rstrui.exe","SPP.dll","DllMain"
TRUE,"rstrui.exe","SPP.dll","SxTracerGetThreadContextRetail"
TRUE,"rstrui.exe","SRCORE.dll","DllMain"
TRUE,"rstrui.exe","SRCORE.dll","SrFreeRestoreStatus"
TRUE,"rstrui.exe","VSSAPI.DLL","DllMain"
TRUE,"rstrui.exe","VssTrace.DLL","DllMain"
TRUE,"rstrui.exe","wer.dll","DllMain"
TRUE,"sdclt.exe","bcd.dll","DllMain"
TRUE,"sdclt.exe","Cabinet.dll","DllMain"
TRUE,"sdclt.exe","CLDAPI.dll","CfGetPlaceholderStateFromAttributeTag"
TRUE,"sdclt.exe","CLDAPI.dll","DllMain"
TRUE,"sdclt.exe","CRYPTBASE.DLL","DllMain"
TRUE,"sdclt.exe","edputil.dll","DllMain"
TRUE,"sdclt.exe","edputil.dll","EdpGetIsManaged"
TRUE,"sdclt.exe","FLTLIB.DLL","DllMain"
TRUE,"sdclt.exe","PROPSYS.dll","DllMain"
TRUE,"sdclt.exe","PROPSYS.dll","PSCreateMemoryPropertyStore"
TRUE,"sdclt.exe","PROPSYS.dll","PSPropertyBag_WriteDWORD"
TRUE,"sdclt.exe","ReAgent.dll","DllMain"
TRUE,"sdclt.exe","SPP.dll","DllMain"
TRUE,"sdclt.exe","SPP.dll","SxTracerGetThreadContextRetail"
TRUE,"sdclt.exe","SspiCli.dll","DllMain"
TRUE,"sdclt.exe","SspiCli.dll","GetUserNameExW"
TRUE,"sdclt.exe","UxTheme.dll","DllMain"
TRUE,"sdclt.exe","VSSAPI.DLL","DllMain"
TRUE,"sdclt.exe","VssTrace.DLL","DllMain"
TRUE,"sdclt.exe","wer.dll","DllMain"
TRUE,"sdclt.exe","WTSAPI32.dll","DllMain"
